2026-06-08_18-34-44,0,main.go:2026-06-08_18-34-44
2026-06-08_18-40-17,0,main.go:2026-06-08_18-34-44
2026-06-08_19-02-48,0,main.go:2026-06-08_19-02-48
2026-06-08_19-03-35,0,main.go:2026-06-08_19-02-48
2026-06-08_19-27-45,0,main.go:2026-06-08_19-02-48
2026-06-08_20-38-53,0,main.go:2026-06-08_20-38-53
2026-06-08_20-49-22,0,main.go:2026-06-08_20-49-22
2026-06-08_20-54-53,0,main.go:2026-06-08_20-54-53
2026-06-08_21-09-21,0,main.go:2026-06-08_21-09-21
2026-06-08_21-09-47,0,main.go:2026-06-08_21-09-47
2026-06-08_21-27-31,0,main.go:2026-06-08_21-27-31
2026-06-08_22-43-01,0,main.go:2026-06-08_22-43-01
2026-06-08_22-54-49,0,main.go:2026-06-08_22-54-49
2026-06-08_22-55-15,0,main.go:2026-06-08_22-55-15
2026-06-08_22-55-33,0,main.go:2026-06-08_22-55-15
2026-06-08_23-06-56,0,main.go:2026-06-08_22-55-15
2026-06-08_23-26-14,40,main.go:2026-06-08_23-26-14
2026-06-08_23-27-58,40,main.go:2026-06-08_23-27-58
2026-06-08_23-28-39,40,main.go:2026-06-08_23-27-58
2026-06-08_23-31-03,60,main.go:2026-06-08_23-31-03
2026-06-08_23-32-41,60,main.go:2026-06-08_23-31-03
2026-06-08_23-32-59,80,main.go:2026-06-08_23-32-59
2026-06-08_23-33-38,20,main.go:2026-06-08_23-33-38
2026-06-08_23-42-10,20,main.go:2026-06-08_23-42-10
2026-06-08_23-42-16,100,main.go:2026-06-08_23-42-16
2026-06-08_23-47-30,100,main.go:2026-06-08_23-42-16
2026-06-09_00-05-18,100,main.go:2026-06-08_23-42-16
