2026-06-07 17:34:58, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 18:30:11, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 18:30:13, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 18:30:33, MOVE, v:1, k:ed@lista_d4, mode:DOWN
2026-06-07 18:30:37, MOVE, v:1, k:ed@lista_d4, mode:PICK
2026-06-07 18:30:33, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-06-07 18:30:33, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-06-07 18:30:33, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-06-07 18:30:33, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-06-07 18:53:02, MOVE, v:1, k:ed@lista_d4, mode:BACK
2026-06-07 18:53:25, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 18:53:32, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 18:53:44, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 18:55:10, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 18:55:18, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 18:59:04, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 18:59:15, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 19:21:39, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 19:21:51, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 19:21:55, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 19:22:14, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 19:24:31, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 19:24:43, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 19:24:48, MOVE, v:1, k:ed@bettersearch, mode:EDIT
2026-06-07 20:14:56, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 20:19:34, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 20:19:47, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 20:19:51, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 20:19:57, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-06-07 20:39:02, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-06-07 20:41:47, MOVE, v:1, k:ed@multiset, mode:DOWN
2026-06-07 20:41:49, MOVE, v:1, k:ed@multiset, mode:PICK
2026-06-07 20:41:47, MOVE, v:1, k:ed@multiset, mode:EDIT
2026-06-07 20:41:47, MOVE, v:1, k:ed@multiset, mode:EDIT
2026-06-07 20:41:47, MOVE, v:1, k:ed@multiset, mode:EDIT
2026-06-07 20:41:47, MOVE, v:1, k:ed@multiset, mode:EDIT
2026-06-07 21:15:04, MOVE, v:1, k:ed@multiset, mode:BACK
2026-06-07 21:15:27, MOVE, v:1, k:ed@multiset, mode:PICK
2026-06-07 21:19:03, MOVE, v:1, k:ed@multiset, mode:EDIT
2026-06-07 21:23:50, MOVE, v:1, k:ed@multiset, mode:EDIT
2026-06-07 21:25:25, MOVE, v:1, k:ed@multiset, mode:BACK
2026-06-07 21:25:36, MOVE, v:1, k:ed@multiset, mode:PICK
2026-06-07 21:25:40, MOVE, v:1, k:ed@multiset, mode:BACK
2026-06-07 21:25:42, MOVE, v:1, k:ed@multiset, mode:PICK
2026-06-07 21:33:14, MOVE, v:1, k:ed@multiset, mode:BACK
2026-06-07 21:33:25, MOVE, v:1, k:ed@multiset, mode:PICK
2026-06-07 21:36:18, MOVE, v:1, k:ed@multiset, mode:BACK
2026-06-07 21:36:30, MOVE, v:1, k:ed@multiset, mode:PICK
2026-06-07 21:46:08, MOVE, v:1, k:ed@multiset, mode:BACK
2026-06-07 23:56:00, MOVE, v:1, k:ed@multiset, mode:PICK
2026-06-07 23:59:57, MOVE, v:1, k:ed@multiset, mode:BACK
